"ID","Title","Action","Expected Result"
"TC_01","Search by Valid Book Title - Displays matching books with pagination if results exceed 20","",""
"","","Pre-conditions:
User is on the library search interface. Search bar accepts text input for Book Titles (per Acceptance Criteria 1).",""
"","","1. Enter a valid Book Title (e.g., 'The Great Gatsby') in the search bar.","1. System displays all books matching the title (exact/partial) (per Acceptance Criteria 2)."
"","","2. Click the search button.","2. If results > 20, only 20 items appear on Page 1 (per Acceptance Criteria 4), and pagination applies (per Acceptance Criteria 4)."
"","","Cleanup:
No cleanup required.",""
"TC_02","Search by Valid Author Name - Displays all books by the author with pagination if results exceed 20","",""
"","","Pre-conditions:
User is on the library search interface. Search bar accepts text input for Author names (per Acceptance Criteria 1).",""
"","","1. Enter a valid Author name (e.g., 'J.K. Rowling') in the search bar.","1. System displays all books by the author (per Acceptance Criteria 2)."
"","","2. Click the search button.","2. If results > 20, pagination applies (per Acceptance Criteria 4-5), showing 20 items on Page 1 and the rest on subsequent pages."
"","","Cleanup:
No cleanup required.",""
"TC_03","Search by Valid ISBN - Displays exact book record without pagination","",""
"","","Pre-conditions:
User is on the library search interface. Search bar accepts numeric/hyphenated ISBN input (per Acceptance Criteria 1).",""
"","","1. Enter a valid ISBN (e.g., '978-0743273565') in the search bar.","1. System displays the exact book record for the ISBN (per Acceptance Criteria 2)."
"","","2. Click the search button.","2. No pagination applies (single result)."
"","","Cleanup:
No cleanup required.",""
"TC_04","Combined Search (Title + Author + ISBN) - Displays exact book matching all criteria without pagination","",""
"","","Pre-conditions:
User is on the library search interface. Search bar accepts all three fields (per Acceptance Criteria 1).",""
"","","1. Enter a Title (e.g., '1984'), Author (e.g., 'George Orwell'), and ISBN (e.g., '978-0451524935') in the search fields.","1. System displays the exact book matching all three criteria (per Acceptance Criteria 3)."
"","","2. Click the search button.","2. No pagination applies (single result)."
"","","Cleanup:
No cleanup required.",""
"TC_05","Partial Match Search (Title + Author) - Displays matching books with pagination if results exceed 20","",""
"","","Pre-conditions:
User is on the library search interface. Search bar accepts Title and Author inputs (per Acceptance Criteria 1).",""
"","","1. Enter a Title (e.g., 'Harry') and Author (e.g., 'Rowling') in the search fields.","1. System displays books matching both Title and Author (per Acceptance Criteria 3)."
"","","2. Click the search button.","2. If results > 20, pagination applies (per Acceptance Criteria 4-5), showing 20 items on Page 1 and the rest on subsequent pages."
"","","Cleanup:
No cleanup required.",""
"TC_06","Pagination Boundary (Exactly 20 Items) - Displays all 20 items on Page 1 without 'Next Page' button","",""
"","","Pre-conditions:
User performs a search returning exactly 20 items (e.g., via a broad query).",""
"","","1. Execute a search yielding 20 results.","1. All 20 items appear on Page 1 (per Acceptance Criteria 4)."
"","","2. Verify the displayed items.","2. No 'Next Page' button is shown (no overflow)."
"","","Cleanup:
No cleanup required.",""
"TC_07","Pagination Overflow (21+ Items) - Displays 20 items on Page 1 and enables 'Next Page' button for subsequent pages","",""
"","","Pre-conditions:
User performs a search returning 21+ items (e.g., via a generic query).",""
"","","1. Execute a search yielding 21 results.","1. Page 1 displays 20 items (per Acceptance Criteria 4)."
"","","2. Verify items on Page 1 and Page 2.","2. Page 2 displays the 21st item (per Acceptance Criteria 5)."
"","","3. Click the 'Next Page' button.","3. 'Next Page' button is enabled for Page 2."
"","","Cleanup:
No cleanup required.",""
