"ID","Title","Action","Expected Result"
"TC_006","Search by Title - Enter valid title - Display matching books with pagination","",""
"","","Pre-conditions:
User is on the library search interface. The system has a functional search bar accepting text input for Book Titles. At least one book exists in the database with a valid title.",""
"","","1. Enter a valid Book Title (e.g., ""The Great Gatsby"") into the search bar.","1. The system displays all books matching the entered title."
"","","2. Click the ""Search"" button or press Enter.","2. Results are paginated (max 20 items per page if total exceeds 20)."
"","","Cleanup:
Clear search input and verify no residual results.",""
"TC_NEW_001","Search by Author - Enter valid author - Display matching books with pagination","",""
"","","Pre-conditions:
User is on the library search interface. The system accepts text input for Author names. At least one book exists in the database with a valid author.",""
"","","1. Enter a valid Author name (e.g., ""J.K. Rowling"") into the search bar.","1. The system displays all books written by the entered author."
"","","2. Click the ""Search"" button or press Enter.","2. Results are paginated (max 20 items per page if total exceeds 20)."
"","","Cleanup:
Clear search input and verify no residual results.",""
"TC_NEW_002","Search by ISBN - Enter valid ISBN - Display exact book record","",""
"","","Pre-conditions:
User is on the library search interface. The system accepts numeric/hyphenated input for ISBNs. At least one book exists in the database with a valid ISBN.",""
"","","1. Enter a valid ISBN (e.g., ""978-0743273565"") into the search bar.","1. The system displays the exact book record matching the entered ISBN."
"","","2. Click the ""Search"" button or press Enter.","2. No pagination is required (single result)."
"","","Cleanup:
Clear search input and verify no residual results.",""
"TC_NEW_003","Verify Cart Limit - Add 10 items - Block 11th item with error","",""
"","","Pre-conditions:
User is logged in and has a cart. The system enforces a cart limit of 10 items. At least 10 books are available for addition to the cart.",""
"","","1. Add 10 books to the cart.","1. The system allows the first 10 items to be added."
"","","2. Attempt to add an 11th book to the cart.","2. The 11th item is blocked with an error message: ""Cart limit reached (max 10 items)."""
"","","Cleanup:
Remove all items from the cart.",""
"TC_NEW_004","Combined Search - Enter title, author, and ISBN - Display exact book","",""
"","","Pre-conditions:
User is on the library search interface. The system supports multi-field search (Title + Author + ISBN). At least one book exists matching all three criteria.",""
"","","1. Enter a valid Title (e.g., ""1984""), Author (e.g., ""George Orwell""), and ISBN (e.g., ""978-0451524935"") into the search bar.","1. The system displays the exact book matching all three criteria."
"","","2. Click the ""Search"" button or press Enter.","2. No pagination is required (single result)."
"","","Cleanup:
Clear search input and verify no residual results.",""
"TC_NEW_005","Partial Match - Enter title and author - Display matching books with pagination","",""
"","","Pre-conditions:
User is on the library search interface. The system supports partial multi-field search (Title + Author). At least one book exists matching both criteria.",""
"","","1. Enter a valid Title (e.g., ""Harry Potter"") and Author (e.g., ""J.K. Rowling"") into the search bar.","1. The system displays all books matching both Title and Author."
"","","2. Click the ""Search"" button or press Enter.","2. Results are paginated (max 20 items per page if total exceeds 20)."
"","","Cleanup:
Clear search input and verify no residual results.",""
"TC_NEW_006","Pagination Boundary - Search for exactly 20 items - Display all on Page 1","",""
"","","Pre-conditions:
User is on the library search interface. A search query returns exactly 20 matching books. Pagination is enabled (20 items/page).",""
"","","1. Perform a search that returns exactly 20 books (e.g., ""Title: 'Moby Dick'"").","1. All 20 books are displayed on Page 1."
"","","2. Observe the displayed results.","2. No ""Next Page"" button is shown (no overflow)."
"","","Cleanup:
Clear search input and verify no residual results.",""
"TC_NEW_007","Pagination Overflow - Search for 21+ items - Display 20 on Page 1, hide 21st","",""
"","","Pre-conditions:
User is on the library search interface. A search query returns 21+ matching books. Pagination is enabled (20 items/page).",""
"","","1. Perform a search that returns 21 books (e.g., ""Author: 'Agatha Christie'"").","1. Page 1 displays the first 20 items."
"","","2. Observe the displayed results on Page 1.","2. The 21st item is hidden on Page 1."
"","","3. Click the ""Next Page"" or ""Page 2"" button.","3. The 21st item is accessible only via ""Next Page"" navigation."
"","","Cleanup:
Clear search input and verify no residual results.",""
"TC_NEW_008","Verify Add Out-of-Stock Item - Attempt to add out-of-stock book - Block with error","",""
"","","Pre-conditions:
User is on a book detail page. The book is marked as out-of-stock in the system. User has a functional cart.",""
"","","1. Navigate to a book detail page for an out-of-stock item.","1. The ""Add to Cart"" button is disabled or grayed out."
"","","2. Attempt to add the book to the cart.","2. An error message appears: ""This item is out of stock."""
"","","Cleanup:
No cleanup required.",""
