"ID","Title","Action","Expected Result"
"TC_006","Search by Title - User enters a valid book title - System displays matching books with pagination","",""
"","","Pre-conditions:
The user is on the library search interface. The system has a database of books with unique titles.",""
"","","1. Enter a valid Book Title (e.g., 'The Great Gatsby') into the search bar.","1. The system displays all books matching the entered title (case-insensitive partial match allowed if applicable)."
"","","2. Click the 'Search' button or press Enter.","2. Results are paginated with a maximum of 20 items per page."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_001","Search by Author - User enters an author name - System displays matching books with pagination","",""
"","","Pre-conditions:
The user is on the library search interface. The system has books with unique authors.",""
"","","1. Enter a valid Author name (e.g., 'J.K. Rowling') into the search bar.","1. The system displays all books written by the entered author (case-insensitive partial match allowed if applicable)."
"","","2. Click the 'Search' button or press Enter.","2. Results are paginated with a maximum of 20 items per page."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_002","Search by ISBN - User enters an ISBN - System displays exact match or error","",""
"","","Pre-conditions:
The user is on the library search interface. The system has books with unique ISBNs (numeric/hyphenated format).",""
"","","1. Enter a valid ISBN (e.g., '978-0743273565') into the search bar.","1. The system displays the exact book record matching the entered ISBN."
"","","2. Click the 'Search' button or press Enter.","2. If no match exists, an error message is displayed (e.g., 'No books found for this ISBN')."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_003","Verify Cart Limit - User adds 10+ items - System enforces max 10 items","",""
"","","Pre-conditions:
The user is logged in and has a shopping cart. The system enforces a cart limit of 10 items.",""
"","","1. Add 10 books to the cart.","1. The system allows the first 10 items to be added successfully."
"","","2. Attempt to add an 11th book to the cart.","2. The 11th item is blocked with an error message (e.g., 'Cart limit reached. Maximum 10 items allowed.')."
"","","Cleanup:
Remove all items from the cart and verify cart is empty.",""
"TC_NEW_004","Combined Search - User enters title, author, and ISBN - System displays exact match or error","",""
"","","Pre-conditions:
The user is on the library search interface. The system has books with unique combinations of Title, Author, and ISBN.",""
"","","1. Enter a Title (e.g., 'Harry Potter'), Author (e.g., 'J.K. Rowling'), and ISBN (e.g., '978-0743273565') into the search fields.","1. The system displays the exact book matching all three criteria."
"","","2. Click the 'Search' button or press Enter.","2. If no match exists, an error message is displayed (e.g., 'No books found matching all criteria')."
"","","Cleanup:
Clear search inputs and verify no unintended side effects.",""
"TC_NEW_005","Partial Match - User enters partial title and author - System displays matching books with pagination","",""
"","","Pre-conditions:
The user is on the library search interface. The system has books with overlapping Title and Author combinations.",""
"","","1. Enter a partial Title (e.g., 'Harry') and partial Author (e.g., 'Row') into the search fields.","1. The system displays all books matching both partial criteria (case-insensitive)."
"","","2. Click the 'Search' button or press Enter.","2. Results are paginated with a maximum of 20 items per page."
"","","Cleanup:
Clear search inputs and verify no unintended side effects.",""
"TC_NEW_006","Pagination Boundary - User searches for exactly 20 items - System displays all items with no 'Next Page'","",""
"","","Pre-conditions:
The user is on the library search interface. The system has exactly 20 books matching the search criteria.",""
"","","1. Perform a search that returns exactly 20 items (e.g., search by Author with 20 books).","1. The system displays all 20 items on the first page."
"","","2. Observe the first page of results.","2. No 'Next Page' button is shown (or it is disabled)."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_007","Pagination Overflow - User searches for 21+ items - System paginates results correctly","",""
"","","Pre-conditions:
The user is on the library search interface. The system has 21 books matching the search criteria.",""
"","","1. Perform a search that returns 21 items (e.g., search by Title with 21 matches).","1. The first page displays exactly 20 items."
"","","2. Observe the first page of results.","2. The 'Next Page' button is enabled."
"","","3. Click the 'Next Page' or 'Page 2' button.","3. The second page displays the 21st item and includes pagination controls (e.g., 'Previous Page' and 'Next Page')."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_008","Verify Add Out-of-Stock Item Blocked - User attempts to add out-of-stock book - System prevents addition","",""
"","","Pre-conditions:
The user is on a product detail page for a book marked as 'Out of Stock.' The system enforces stock availability checks.",""
"","","1. Attempt to add an out-of-stock book to the cart.","1. The system blocks the addition with an error message (e.g., 'This item is currently out of stock.')."
"","","","2. The 'Add to Cart' button is disabled or grayed out."
"","","Cleanup:
Verify the cart remains unchanged and no unintended side effects occur.",""
